eventId,participantId,eventToken,action,timestamp_local,timestamp_utcoffset,eventType,eventDate,noSpecifiedTime,startTime,endTime,priority,reminderPrior,reminderPriorSixth,reminderPriorQuarter,reminderPriorHalf,reminderPriorWhole,reminderAtEvent,completed,recurring,recurringStartDate,recurringEndDate,recurringFrequency,recurringSunday,recurringMonday,recurringTuesday,recurringWednesday,recurringThursday,recurringFriday,recurringSaturday,recurringHide,isHealthTrack,healthTrackGoal,healthTrackData,healthTrackType
2128,110,D9370F0E-1FF4-4E55-9459-46E92EB969F2,create,11/10/21 15:38,-800,scheduled,11/10/21,0,15:00:00,17:00:00,0,0,0,0,0,0,1,0,0,11/10/21,,none,0,0,0,0,0,0,0,0,0,,,
2144,110,D9370F0E-1FF4-4E55-9459-46E92EB969F2,edit,11/10/21 15:40,-800,scheduled,11/10/21,0,15:00:00,17:00:00,1,0,0,0,0,0,1,0,0,11/10/21,,none,0,0,0,0,0,0,0,0,0,,,
2165,110,D9370F0E-1FF4-4E55-9459-46E92EB969F2,edit,11/10/21 15:47,-800,scheduled,11/10/21,0,15:00:00,17:00:00,1,0,0,0,0,1,0,0,0,11/10/21,,none,0,0,0,0,0,0,0,0,0,,,
2181,110,D9370F0E-1FF4-4E55-9459-46E92EB969F2,edit,11/10/21 15:49,-800,scheduled,11/10/21,0,15:00:00,17:00:00,1,0,0,0,0,1,0,0,0,11/10/21,,none,0,0,0,0,0,0,0,0,0,,,
2204,110,5511FCAD-DDB1-4496-96D4-0A7ADABB6F68,create,11/10/21 15:55,-800,scheduled,11/17/21,0,15:00:00,17:00:00,1,0,0,0,0,1,0,0,1,11/17/21,,weekly,0,0,0,1,0,0,0,0,0,,,
2268,110,289D44BB-9D76-4C91-B74E-BC5884850B5D,create,11/10/21 16:12,-800,scheduled,11/10/21,0,12:00:00,12:10:00,0,0,0,0,0,0,1,0,1,11/10/21,11/17/21,daily,0,0,0,0,0,0,0,1,0,,,
2290,110,3987BA78-F6A4-45ED-B791-9B8C970CBA8C,create,11/10/21 16:14,-800,scheduled,11/10/21,0,0:00:00,0:10:00,0,0,0,0,0,0,1,0,1,11/10/21,11/17/21,daily,0,0,0,0,0,0,0,1,0,,,
2328,110,289D44BB-9D76-4C91-B74E-BC5884850B5D,complete,11/10/21 16:28,-800,scheduled,11/10/21,0,12:00:00,12:10:00,0,0,0,0,0,0,1,1,0,11/10/21,11/17/21,daily,0,0,0,0,0,0,0,1,0,,,
2450,110,9B8F445A-442D-4B8A-8542-54303D3B3976,create,11/11/21 18:55,-800,scheduled,11/13/21,0,16:30:00,21:30:00,0,0,0,0,0,1,0,0,0,11/13/21,,none,0,0,0,0,0,0,0,0,0,,,
2451,110,AC8C5084-72A8-484C-8399-E1191352140C,create,11/11/21 18:58,-800,todo,11/14/21,1,,,0,0,0,0,0,0,1,0,1,11/14/21,,yearly,0,0,0,0,0,0,0,0,0,,,
2452,110,C883EA61-EADF-4646-8FEE-0AA5B553BB80,create,11/11/21 19:00,-800,todo,11/15/21,1,,,0,0,0,0,0,0,1,0,1,11/15/21,,yearly,0,0,0,0,0,0,0,0,0,,,
